Success Deviation,Success Accuracy,Failure Deviation,Failure Accuracy
15,0.8418555182852,18.0,0.7989855191033298
9,0.8971610897488341,12.0,0.7993127710054815
15,0.8271291826883744,18.0,0.7715781722981265
15,0.8060214349995909,18.0,0.7650331342550929
12,0.8697537429436308,15.0,0.7998854618342469
12,0.8383375603370694,15.0,0.7828683629223595
9,0.9022334942321852,12.0,0.7740325615642641
24,0.8940521966783932,,
24,0.8680356704573345,,
12,0.8169025607461343,15.0,0.7355804630614415
24,0.8393193160435245,,
6,0.9162235130491696,9.0,0.7678147754233822
24,0.8350650413155526,,
24,0.842919086967193,,
15,0.807003190706046,18.0,0.7692874089830647
12,0.8510185715454471,15.0,0.7544792604107011
24,0.8595271210013908,,
6,0.9002699828192752,9.0,0.7442526384684611
9,0.820338705718727,12.0,0.6916468951975784
12,0.8369467397529248,15.0,0.7753415691728708
24,0.8349014153644768,,
18,0.8142845455289209,21.0,0.7818047942403665
24,0.8376830565327661,,
6,0.8906160517058005,9.0,0.6487768960157081
18,0.8079031334369631,21.0,0.7615969892825002
24,0.829501758978974,,
18,0.8312198314652703,21.0,0.7950584962775096
21,0.8227112820093266,24.0,0.7975128855436472
9,0.8699991818702446,12.0,0.772150863126892
21,0.8279473124437535,24.0,0.7970220076904198
6,0.9032970629141782,9.0,0.6835474106193242
9,0.8239384766423955,12.0,0.6985191851427637
12,0.8761351550355887,15.0,0.799803648858709
9,0.8894706700482696,12.0,0.7647876953284791
12,0.8079031334369631,15.0,0.7411437453980201
12,0.8124028470915488,15.0,0.7433526957375439
12,0.8565000409064878,15.0,0.7561973328969974
18,0.8263110529329952,21.0,0.787531702528021
18,0.8317107093184979,21.0,0.7994763969565573
18,0.8138754806512313,21.0,0.7799230958029943
12,0.804957866317598,15.0,0.7324715699910006
12,0.8365376748752352,15.0,0.7683056532766097
24,0.8563364149554119,,
24,0.8847255174670703,,
18,0.8268019307862227,21.0,0.799803648858709
24,0.8662357849955002,,
18,0.8009490305162399,21.0,0.7555428290926941
15,0.8412828274564346,18.0,0.7779595843900843
9,0.8947067004826965,12.0,0.7738689356131883
15,0.8129755379203142,18.0,0.7471160926122883
24,0.8083121983146527,,
24,0.8803894297635605,,
15,0.8088848891434182,18.0,0.7478524093921296
9,0.8291745070768224,12.0,0.7103002536202242
18,0.8095393929477215,21.0,0.771005481469361
18,0.8074122555837355,21.0,0.7665057678147754
15,0.8350650413155526,18.0,0.7820502331669803
24,0.8321197741961875,,
18,0.8228749079604025,21.0,0.7866317597971039
12,0.820338705718727,15.0,0.7436799476396957
15,0.8099484578254111,18.0,0.7558700809948458
15,0.8304835146854291,18.0,0.7637241266464861
9,0.8239384766423955,12.0,0.7255992800458153
15,0.8269655567372985,18.0,0.7891679620387794
24,0.9094330360795222,,
18,0.8119119692383212,21.0,0.7818866072159044
24,0.8185388202568927,,
15,0.8437372167225722,18.0,0.7948948703264338
12,0.8063486869017427,15.0,0.7476069704655158
24,0.8267201178106848,,
24,0.8781804794240367,,
18,0.8045488014399084,21.0,0.7650331342550929
24,0.8963429599934549,,
12,0.8375194305816902,15.0,0.7723963020535057
12,0.8362922359486215,15.0,0.777223267610243
18,0.8265564918596089,21.0,0.7983310152990264
24,0.8411192015053588,,
15,0.803894297635605,18.0,0.7633968747443345
15,0.8125664730426245,18.0,0.7676511494723063
18,0.8052851182197497,21.0,0.7717417982492023
24,0.8861981510267528,,
15,0.8433281518448826,18.0,0.7953857481796613
12,0.8496277509613025,15.0,0.7640513785486378
12,0.858299926368322,15.0,0.7625787449889553
18,0.825492923177616,21.0,0.7858954430172626
24,0.8187024462079686,,
21,0.8193569500122719,24.0,0.7948130573508958
6,0.9283318334287818,9.0,0.6891925059314408
9,0.8130573508958521,12.0,0.6846927922768551
12,0.8164934958684448,15.0,0.7050642231857973
24,0.8165753088439827,,
9,0.8935613188251657,12.0,0.7786140881943876
24,0.8107665875807903,,
21,0.8176388775259756,24.0,0.7920314161826065
21,0.8117483432872453,24.0,0.7804957866317598
15,0.8051214922686738,18.0,0.7705146036161336
18,0.8169025607461343,21.0,0.7869590116992555
24,0.8102757097275628,,
12,0.8618996972919906,15.0,0.7831138018489733
24,0.9058332651558537,,
