Success Deviation,Success Accuracy,Failure Deviation,Failure Accuracy
3,0.845,4,0.7885
4,0.8018166666666666,5,0.7568666666666667
4,0.8141833333333334,5,0.7689166666666667
4,0.8117666666666666,5,0.7571666666666667
4,0.8070333333333334,5,0.7632666666666666
4,0.8199166666666666,5,0.7696666666666667
4,0.82385,5,0.7756
4,0.8010333333333334,5,0.7502166666666666
3,0.83775,4,0.7884166666666667
4,0.82555,5,0.7719666666666667
5,0.8191333333333334,6,0.78485
3,0.8351166666666666,4,0.77655
4,0.8206666666666667,5,0.7730666666666667
3,0.8422833333333334,4,0.7814333333333333
4,0.8223166666666667,5,0.7779833333333334
3,0.8218666666666666,4,0.75315
3,0.8486666666666667,4,0.7990833333333334
3,0.82065,4,0.7550333333333333
3,0.81915,4,0.7747
4,0.8056833333333333,5,0.7573666666666666
3,0.8310166666666666,4,0.75985
4,0.8304666666666667,5,0.78215
4,0.8360833333333333,5,0.7864666666666666
5,0.8049666666666667,6,0.7609833333333333
4,0.8352333333333334,5,0.7870833333333334
5,0.8032,6,0.7688
3,0.8434,4,0.7849833333333334
4,0.8203833333333334,5,0.77735
4,0.8077666666666666,5,0.7756833333333333
4,0.8005,5,0.74995
3,0.8498333333333333,4,0.79015
4,0.8062,5,0.7586833333333334
3,0.8315833333333333,4,0.7768
3,0.8445333333333334,4,0.7967666666666666
4,0.8218,5,0.7720166666666667
3,0.8252,4,0.7406
4,0.8249333333333333,5,0.7812
3,0.8202,4,0.7843666666666667
4,0.8205666666666667,5,0.76135
4,0.8284833333333333,5,0.7920666666666667
3,0.84505,4,0.7868
4,0.8201666666666667,5,0.7701166666666667
4,0.8133666666666667,5,0.76425
4,0.8126333333333333,5,0.7463666666666666
4,0.8265666666666667,5,0.7767166666666667
4,0.8235833333333333,5,0.7779833333333334
4,0.8245666666666667,5,0.7709333333333334
4,0.8127,5,0.7584833333333333
3,0.8372666666666667,4,0.7706666666666667
4,0.8263833333333334,5,0.7680833333333333
3,0.8523,4,0.78975
3,0.8037666666666666,4,0.7370333333333333
3,0.85635,4,0.79015
3,0.8108833333333333,4,0.732
3,0.8154,4,0.7636333333333334
4,0.83575,5,0.7896833333333333
4,0.8131,5,0.7712
3,0.8416833333333333,4,0.7833833333333333
4,0.8176833333333333,5,0.77395
3,0.8195166666666667,4,0.751
4,0.81565,5,0.7580166666666667
4,0.8000166666666667,5,0.7512166666666666
3,0.8505,4,0.7951333333333334
4,0.8117333333333333,5,0.7685
4,0.8480333333333333,5,0.79845
3,0.8476166666666667,4,0.7830666666666667
3,0.8480333333333333,4,0.7860166666666667
5,0.80345,6,0.7678333333333334
4,0.8207,5,0.7611666666666667
4,0.81615,5,0.7676333333333333
5,0.8282,6,0.7964
3,0.832,4,0.7654
4,0.8031166666666667,5,0.7496166666666667
3,0.8215666666666667,4,0.7686
5,0.8023,6,0.75485
4,0.8106833333333333,5,0.7586333333333334
3,0.8351333333333333,4,0.7881166666666667
3,0.8487333333333333,4,0.7834
4,0.8124166666666667,5,0.76565
4,0.8277,5,0.7841166666666667
4,0.8275166666666667,5,0.7732833333333333
5,0.8020833333333334,6,0.7603666666666666
4,0.8011833333333334,5,0.7466166666666667
4,0.8325,5,0.7918
3,0.8421,4,0.7919166666666667
5,0.8171333333333334,6,0.7763833333333333
3,0.8154166666666667,4,0.7616
4,0.8235833333333333,5,0.7828333333333334
4,0.83735,5,0.7941666666666667
3,0.8275,4,0.7683833333333333
5,0.8044,6,0.7689
4,0.8326833333333333,5,0.78415
4,0.8191833333333334,5,0.768
5,0.80045,6,0.7672
4,0.8332666666666667,5,0.7745833333333333
4,0.8015833333333333,5,0.7453166666666666
4,0.8268166666666666,5,0.78735
4,0.802,5,0.7699333333333334
4,0.82115,5,0.7763833333333333
3,0.8284666666666667,4,0.7759666666666667
