Success Deviation,Success Accuracy,Failure Deviation,Failure Accuracy
4,0.81755,5,0.7720166666666667
5,0.8268666666666666,6,0.7982666666666667
4,0.8432,5,0.7893833333333333
6,0.8036166666666666,7,0.7687666666666667
5,0.8181,6,0.7717666666666667
5,0.82625,6,0.78905
5,0.8185166666666667,6,0.7797
4,0.8258333333333333,5,0.7835333333333333
5,0.8010833333333334,6,0.7676666666666667
4,0.8398333333333333,5,0.7962333333333333
5,0.8305333333333333,6,0.789
5,0.82065,6,0.7840166666666667
5,0.8041833333333334,6,0.7651833333333333
5,0.8108,6,0.7646166666666666
4,0.83755,5,0.79915
5,0.8257666666666666,6,0.7901166666666667
5,0.8250333333333333,6,0.7959666666666667
5,0.8002333333333334,6,0.76655
4,0.8498166666666667,5,0.7895333333333333
5,0.8360333333333333,6,0.7999333333333334
5,0.81415,6,0.76385
5,0.8238166666666666,6,0.7876666666666666
5,0.8091833333333334,6,0.7677166666666667
4,0.8312666666666667,5,0.7801833333333333
4,0.8403833333333334,5,0.78175
5,0.8220666666666666,6,0.7879333333333334
4,0.83435,5,0.78525
5,0.8347,6,0.7983666666666667
4,0.84915,5,0.7974
5,0.82905,6,0.78745
3,0.8383666666666667,4,0.7931666666666667
4,0.8301166666666666,5,0.7927333333333333
5,0.8111,6,0.7659
5,0.8235166666666667,6,0.7894833333333333
3,0.8655,4,0.79985
5,0.8055833333333333,6,0.769
4,0.8267,5,0.7861
5,0.8213333333333334,6,0.78105
4,0.8380166666666666,5,0.7917666666666666
5,0.82415,6,0.7855
4,0.8311833333333334,5,0.7864666666666666
5,0.8128666666666666,6,0.77115
5,0.8256666666666667,6,0.7913
6,0.8170166666666666,7,0.78665
5,0.8008833333333333,6,0.7604
5,0.8165666666666667,6,0.7678166666666667
5,0.8192666666666667,6,0.7756666666666666
5,0.8217333333333333,6,0.7764833333333333
5,0.8015333333333333,6,0.7614166666666666
5,0.8221166666666667,6,0.7802166666666667
5,0.8275833333333333,6,0.7899666666666667
5,0.8188833333333333,6,0.7831833333333333
5,0.81005,6,0.7695666666666666
4,0.84085,5,0.7883166666666667
5,0.8069833333333334,6,0.765
4,0.81455,5,0.7645333333333333
5,0.8243833333333334,6,0.7768833333333334
4,0.8259333333333333,5,0.78705
5,0.8254666666666667,6,0.7795833333333333
5,0.8221333333333334,6,0.7880333333333334
4,0.8231166666666667,5,0.7749
4,0.8349833333333333,5,0.7911
5,0.8137166666666666,6,0.7621
5,0.8283333333333334,6,0.7819833333333334
5,0.816,6,0.7684166666666666
5,0.82145,6,0.7768
6,0.8193,7,0.7864
4,0.8377333333333333,5,0.7864
5,0.8171666666666667,6,0.7755833333333333
5,0.8258,6,0.7803833333333333
5,0.8079666666666667,6,0.7695333333333333
5,0.81025,6,0.7739666666666667
5,0.8307333333333333,6,0.7967166666666666
5,0.8031666666666667,6,0.77375
5,0.81955,6,0.7754833333333333
5,0.82435,6,0.7857833333333333
6,0.8171,7,0.7830166666666667
5,0.8092833333333334,6,0.7691833333333333
5,0.8004666666666667,6,0.7656333333333334
5,0.8183833333333334,6,0.7801833333333333
4,0.84505,5,0.7965666666666666
5,0.8086833333333333,6,0.7690833333333333
5,0.8115833333333333,6,0.76685
5,0.81045,6,0.7738333333333334
4,0.8374,5,0.7940666666666667
5,0.81375,6,0.7760166666666667
4,0.8297166666666667,5,0.7861333333333334
5,0.8249333333333333,6,0.7977166666666666
4,0.8116833333333333,5,0.7653333333333333
5,0.8019333333333334,6,0.7714666666666666
5,0.81545,6,0.7717333333333334
5,0.8096,6,0.7729666666666667
5,0.8118,6,0.7659166666666667
5,0.8071166666666667,6,0.7590166666666667
4,0.8385,5,0.79605
4,0.8043833333333333,5,0.7598666666666667
4,0.80195,5,0.75545
5,0.8284,6,0.78655
6,0.8141,7,0.7776666666666666
6,0.8031666666666667,7,0.7693166666666666
