Success Deviation,Success Accuracy,Failure Deviation,Failure Accuracy
15,0.8406793048973144,18.0,0.7481832543443918
24,0.8190363349131121,,
12,0.8212480252764613,15.0,0.7037914691943128
24,0.8703791469194313,,
12,0.8543443917851501,15.0,0.789652448657188
24,0.8578199052132701,,
18,0.8390995260663507,21.0,0.7964454976303318
12,0.8479462875197472,15.0,0.743996840442338
9,0.879778830963665,12.0,0.7889415481832543
21,0.8131911532385466,24.0,0.7744865718799369
12,0.8879936808846761,15.0,0.7639810426540284
24,0.8390995260663507,,
15,0.8410742496050553,18.0,0.7721958925750395
15,0.831437598736177,18.0,0.7571090047393365
6,0.94826224328594,9.0,0.6630331753554503
15,0.8322274881516588,18.0,0.7346761453396524
15,0.8560031595576619,18.0,0.7717219589257504
24,0.861611374407583,,
15,0.8207740916271722,18.0,0.7501579778830963
18,0.8153238546603475,21.0,0.7981042654028436
24,0.8727488151658768,,
24,0.8263823064770932,,
18,0.8454186413902054,21.0,0.782780410742496
18,0.827567140600316,21.0,0.782306477093207
24,0.8054502369668246,,
9,0.8433649289099526,12.0,0.6314375987361769
21,0.8015797788309637,24.0,0.7742496050552923
12,0.8206161137440758,15.0,0.7353080568720379
24,0.964218009478673,,
24,0.8815955766192733,,
15,0.8507898894154818,18.0,0.7895734597156399
24,0.8244075829383887,,
24,0.9208530805687204,,
12,0.8390995260663507,15.0,0.7078199052132701
21,0.8357030015797788,24.0,0.7998420221169036
9,0.9293838862559242,12.0,0.7903633491311216
9,0.874170616113744,12.0,0.7066350710900474
24,0.8772511848341232,,
15,0.8443127962085308,18.0,0.7431279620853081
9,0.8909952606635071,12.0,0.734044233807267
15,0.8162717219589257,18.0,0.7743285939968404
24,0.8640600315955766,,
21,0.8267772511848341,24.0,0.7981042654028436
21,0.8270932069510268,24.0,0.7966034755134281
21,0.8108214849921012,24.0,0.7858609794628751
24,0.852132701421801,,
15,0.8256714060031596,18.0,0.7941548183254344
12,0.8632701421800948,15.0,0.7864928909952607
15,0.8236966824644549,18.0,0.7627172195892575
18,0.8018167456556082,21.0,0.7358609794628752
9,0.9026856240126382,12.0,0.7743285939968404
24,0.9140600315955766,,
18,0.8530805687203792,21.0,0.7852290679304897
24,0.8283570300157977,,
24,0.8045023696682464,,
15,0.819826224328594,18.0,0.7812796208530806
24,0.8350710900473933,,
18,0.8131911532385466,21.0,0.7684044233807267
18,0.8342812006319116,21.0,0.7966824644549763
24,0.8716429699842022,,
15,0.8274881516587678,18.0,0.7695102685624012
12,0.8358609794628752,15.0,0.7108214849921011
18,0.8348341232227489,21.0,0.789652448657188
12,0.8362559241706161,15.0,0.7454186413902054
15,0.8265402843601896,18.0,0.7627962085308057
24,0.8674565560821484,,
12,0.8106635071090047,15.0,0.7350710900473933
6,0.972432859399684,9.0,0.7345181674565561
9,0.8139020537124803,12.0,0.6097156398104265
24,0.8659557661927331,,
9,0.8994470774091627,12.0,0.7210110584518168
12,0.8248815165876777,15.0,0.728436018957346
24,0.8821484992101106,,
18,0.8069510268562401,21.0,0.786176935229068
24,0.8286729857819906,,
18,0.8132701421800947,21.0,0.7711690363349131
24,0.9384676145339652,,
9,0.9173775671406004,12.0,0.7657187993680885
24,0.9152448657187994,,
18,0.8218799368088467,21.0,0.7853080568720379
18,0.809873617693523,21.0,0.7647709320695103
24,0.8495260663507109,,
9,0.9289889415481832,12.0,0.7740916271721959
6,0.825434439178515,9.0,0.5705371248025276
12,0.846998420221169,15.0,0.7781200631911532
9,0.8090047393364929,12.0,0.5893364928909952
9,0.9108214849921011,12.0,0.7945497630331754
15,0.8417851500789889,18.0,0.7916271721958926
18,0.8240916271721959,21.0,0.7915481832543444
21,0.8105845181674566,24.0,0.7859399684044234
21,0.8293838862559242,24.0,0.7981042654028436
24,0.8894944707740916,,
24,0.8575039494470774,,
9,0.8113744075829384,12.0,0.6889415481832544
18,0.8459715639810427,21.0,0.7966034755134281
21,0.8035545023696683,24.0,0.7708530805687204
15,0.8503949447077409,18.0,0.7475513428120063
9,0.8447077409162718,12.0,0.7083728278041074
9,0.9371248025276462,12.0,0.7842022116903633
24,0.9100315955766193,,
